destination,cnt,country,lat,lon
01420,175,USA,42.579563,-71.803133
01430,51,USA,42.649614,-71.92666
01431,29,USA,42.674462,-71.817369
01432,50,USA,42.55914,-71.578763
01434,6,USA,42.546667,-71.598333
01440,81,USA,42.57405,-71.9898
01450,91,USA,42.612351,-71.558371
01451,10,USA,42.498565,-71.575293
01452,33,USA,42.486538,-72.001159
01453,211,USA,42.52744,-71.756308
01460,24,USA,42.540132,-71.487667
01462,87,USA,42.58843,-71.726642
01463,109,USA,42.668888,-71.593392
01464,35,USA,42.558653,-71.646444
01468,35,USA,42.545976,-72.064971
01469,44,USA,42.652511,-71.689646
01473,74,USA,42.548319,-71.909599
01474,11,USA,42.670404,-71.74057
01475,50,USA,42.678943,-72.047524
01501,111,USA,42.205502,-71.839144
01503,3,USA,42.384438,-71.635634
01504,19,USA,42.028708,-71.52691
01505,3,USA,42.337727,-71.731042
01506,23,USA,42.199141,-72.098887
01507,101,USA,42.137902,-71.966384
01510,8,USA,42.418147,-71.682847
01516,56,USA,42.060566,-71.726611
01519,16,USA,42.200371,-71.686848
01520,27,USA,42.341983,-71.84142
01522,24,USA,42.375519,-71.87058
01523,51,USA,42.450984,-71.686831
01524,34,USA,42.237047,-71.918829
01527,18,USA,42.196779,-71.764438
01529,5,USA,42.033102,-71.579813
01532,32,USA,42.318242,-71.646372
01534,9,USA,42.1494,-71.656366
01535,34,USA,42.266455,-72.082129
01536,9,USA,42.229726,-71.703691
01537,8,USA,42.16549,-71.885953
01540,68,USA,42.11285,-71.868677
01541,22,USA,42.450812,-71.876245
01543,69,USA,42.376199,-71.948951
01545,62,USA,42.284801,-71.720503
01560,9,USA,42.176042,-71.692725
01562,76,USA,42.244103,-71.990617
01564,9,USA,42.435351,-71.775192
01568,16,USA,42.173275,-71.608014
01569,18,USA,42.074426,-71.632869
01570,66,USA,42.047574,-71.839467
01571,73,USA,42.048894,-71.893228
01581,38,USA,42.267891,-71.617604
01583,9,USA,42.35836,-71.783822
01588,6,USA,42.115319,-71.664357
01590,13,USA,42.140586,-71.748416
01602,128,USA,42.270251,-71.841678
01603,61,USA,42.245033,-71.837995
01604,25,USA,42.254084,-71.774626
