lat,lon
42.129484,-72.754318
none,none
42.195922,-73.36065
42.579563,-71.803133
42.649614,-71.92666
42.674462,-71.817369
42.55914,-71.578763
42.546667,-71.598333
42.57405,-71.9898
42.612351,-71.558371
42.498565,-71.575293
42.486538,-72.001159
42.52744,-71.756308
42.540132,-71.487667
42.58843,-71.726642
42.668888,-71.593392
42.558653,-71.646444
42.545976,-72.064971
42.652511,-71.689646
42.548319,-71.909599
42.670404,-71.74057
42.678943,-72.047524
42.205502,-71.839144
42.384438,-71.635634
42.028708,-71.52691
42.337727,-71.731042
42.199141,-72.098887
42.137902,-71.966384
42.145833,-71.988889
42.418147,-71.682847
42.060566,-71.726611
42.200371,-71.686848
42.341983,-71.84142
42.375519,-71.87058
42.450984,-71.686831
42.237047,-71.918829
42.196779,-71.764438
42.033102,-71.579813
42.318242,-71.646372
42.1494,-71.656366
42.266455,-72.082129
42.229726,-71.703691
42.16549,-71.885953
42.11285,-71.868677
42.450812,-71.876245
42.376199,-71.948951
42.284801,-71.720503
42.176042,-71.692725
42.244103,-71.990617
42.435351,-71.775192
42.112619,-72.084233
42.173275,-71.608014
42.074426,-71.632869
42.047574,-71.839467
42.048894,-71.893228
42.267891,-71.617604
42.35836,-71.783822
42.115319,-71.664357
42.140586,-71.748416
42.270251,-71.841678
42.245033,-71.837995
42.254084,-71.774626
42.289391,-71.788795
42.311029,-71.795774
42.230294,-71.793837
42.262425,-71.800262
42.275387,-71.817456
42.249186,-71.810798
42.237287,-71.874971
42.306646,-71.920234
42.2625,-71.8027
42.2625,-71.8027
42.300665,-71.425486
42.2844,-71.4295
42.514941,-71.422354
42.486876,-71.518229
42.475076,-71.448255
42.253909,-71.458347
42.484287,-71.276796
42.464444,-71.284167
42.436523,-71.607593
42.528562,-71.351892
42.456701,-71.374741
42.293221,-71.502256
42.202641,-71.436059
42.126796,-71.537601
42.219046,-71.530178
42.391796,-71.560896
42.350861,-71.543355
42.432118,-71.454975
42.096744,-71.549882
42.151142,-71.527402
42.287476,-71.35741
42.233088,-71.378717
42.293919,-71.531997
42.421723,-71.313723
42.430785,-71.515019
42.383655,-71.428159
42.348629,-71.358781
42.482894,-71.157404
42.508942,-71.200437
42.64956,-71.156481
42.551874,-71.251754
42.59356,-71.357521
42.676422,-71.318592
42.673917,-71.495201
42.785605,-71.072057
42.776111,-71.077778
42.779154,-71.109519
42.728067,-70.982239
42.753027,-71.027018
42.758597,-71.08549
42.707958,-71.16381
42.711545,-71.166997
42.706944,-71.163611
42.691053,-71.160506
42.728019,-71.181031
42.682583,-71.109004
42.656035,-71.305078
42.631548,-71.332882
42.634413,-71.298331
42.633333,-71.316667
42.649254,-71.335464
42.834629,-71.004658
42.575694,-71.290217
